#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
7.6%	3780000	-929300.1005456159	301.76729217159453	474
7.6%	3790000	-931666.5000296044	301.70395468857987	474
7.6%	3800000	-930028.6923841657	299.35928332237177	474
7.6%	3810000	-931669.8984647961	299.1926297159195	474
7.6%	3820000	-931068.4416365344	300.52095507441356	474
7.7%	3830000	-928895.5501121627	301.3783066884178	474
7.7%	3840000	-929846.4822908607	301.54827077132086	474
7.7%	3850000	-928818.2537867334	301.26259726077046	474
7.7%	3860000	-930465.4466929398	300.0217894669232	474
7.7%	3870000	-929542.3993065623	300.332805157276	474
7.8%	3880000	-930587.4271651958	298.80258525368544	474
7.8%	3890000	-931723.7564829336	297.77884190863904	474
7.8%	3900000	-930521.0973049751	302.6661242045358	474
7.8%	3910000	-929531.8623592476	301.0825099797223	474
7.8%	3920000	-930592.7491197037	299.48631173021005	474
7.9%	3930000	-930038.606117303	301.9764007932841	474
7.9%	3940000	-930328.6081036073	299.8175000356013	474
7.9%	3950000	-930132.4736956242	300.21156384812474	474
7.9%	3960000	-928952.5383712277	300.29217210389385	474
7.9%	3970000	-929133.4517777506	299.12479234547163	474
8.0%	3980000	-931308.6301659192	299.8237619926802	474
8.0%	3990000	-931090.3298281645	301.6467264264125	474
8.0%	4000000	-929344.7441085409	299.27879230877005	474
8.0%	4010000	-929818.57243822	300.85661520370263	474
8.0%	4020000	-932083.6359991967	302.69859165076537	474
8.1%	4030000	-930808.831673298	301.32566296833636	474
8.1%	4040000	-929421.6114644986	300.4333042429306	474
8.1%	4050000	-930835.605071818	300.10695456754604	474
8.1%	4060000	-930446.406127607	301.46771009168947	474
8.1%	4070000	-930413.2748520654	301.34609057261923	474
8.2%	4080000	-931588.6078561707	299.7108215305316	474
8.2%	4090000	-931440.8086217307	300.59242132292883	474
8.2%	4100000	-930565.6445247694	299.26383434071624	474
8.2%	4110000	-929611.5653401627	301.084218386856	474
8.2%	4120000	-929037.9421821483	302.8148930680382	474
8.3%	4130000	-929372.40067383	300.18634040184475	474
8.3%	4140000	-930146.8355258377	298.66401223569096	474
8.3%	4150000	-931564.1431355514	300.8384009454722	474
8.3%	4160000	-932369.2867460796	296.86666686825475	474
8.3%	4170000	-930655.5720767896	301.89830380838754	474
8.4%	4180000	-930705.5652703377	300.3686645861817	474
8.4%	4190000	-931136.0243019126	300.57041389995794	474
8.4%	4200000	-930570.17167291	303.19040612456666	474
8.4%	4210000	-930311.9702913584	300.5238958088393	474
8.4%	4220000	-930802.9326614542	300.0344746177395	474
8.5%	4230000	-929707.8818790219	299.9146855795403	474
8.5%	4240000	-930169.056306886	300.43020651578723	474
8.5%	4250000	-930716.9273723578	301.7167563069122	474
8.5%	4260000	-929223.5540540265	299.714880410578	474
8.5%	4270000	-930222.9106833809	300.32241456582125	474
8.6%	4280000	-929199.4720967212	300.10616813441936	474
8.6%	4290000	-930205.6248645	300.60843163494576	474
8.6%	4300000	-929951.5027990765	297.2324323061094	474
8.6%	4310000	-928587.1453159116	298.42604349101464	474
8.6%	4320000	-930043.2116363747	300.00653003395837	474
8.7%	4330000	-930535.8283052165	301.6827041347106	474
8.7%	4340000	-930241.9989145156	302.6879782065217	474
8.7%	4350000	-929738.663758229	302.1924954615529	474
8.7%	4360000	-931649.167531909	301.63997988187566	474
8.7%	4370000	-930308.3838198027	299.89362587320454	474
8.8%	4380000	-929689.0191545025	299.1426993340841	474
8.8%	4390000	-930577.2478666361	300.3605253566886	474
8.8%	4400000	-931230.1312641604	300.53563927226696	474
8.8%	4410000	-929893.9291139669	303.4872455316037	474
8.8%	4420000	-930234.0970630869	301.54286237764705	474
8.9%	4430000	-931428.6562177334	300.79959953072324	474
8.9%	4440000	-929813.9589746501	299.45963995698605	474
8.9%	4450000	-929858.7928387998	301.2069983981862	474
8.9%	4460000	-930483.5302870758	299.7415683229724	474
8.9%	4470000	-930764.3844614858	299.17901007072425	474
9.0%	4480000	-930472.0118847452	300.21983145063587	474
9.0%	4490000	-930240.493784315	299.9281896926296	474
9.0%	4500000	-929512.1560396971	298.85801541773327	474
9.0%	4510000	-930640.6783302398	300.5387363813879	474
9.0%	4520000	-930551.9879718483	301.2582510742189	474
9.1%	4530000	-931891.0919152875	302.7789135306268	474
9.1%	4540000	-930615.8624326098	299.4806281391415	474
9.1%	4550000	-930175.4773950409	300.99677445342246	474
9.1%	4560000	-930057.6499049291	298.1685014954289	474
9.1%	4570000	-930183.7625999795	298.6323716600327	474
9.2%	4580000	-930102.7656850787	299.3768480329342	474
9.2%	4590000	-930709.614974835	300.8253434139483	474
9.2%	4600000	-931505.6646015807	302.0012182248759	474
9.2%	4610000	-930423.2627188903	299.8290619387421	474
9.2%	4620000	-928671.6431231964	302.213759379135	474
